,Space_GI,Affloss_Lasswell,Socrel_GI_neg_3,Space_GI_neg_3,Affloss_Lasswell_neg_3,attention_nouns,Virtue_GI_nouns,Affloss_Lasswell_nouns,Work_GI_verbs,Numb_GI_adverbs,Ord_GI_adverbs,Pos_GI_adverbs,Timespc_Lasswell_adverbs,attention_nouns_neg_3,polarity_nouns_neg_3,Causal_GI_nouns_neg_3,Affloss_Lasswell_nouns_neg_3,Numb_GI_adverbs_neg_3,Ord_GI_adverbs_neg_3,Pos_GI_adverbs_neg_3,outcome
39,0.073170731707317,0.0,0.027027027027027,0.081081081081081,0.0,0.0500833333333333,0.0454545454545454,0.0,0.0714285714285714,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0436363636363636,-0.006090909090909,0.0,0.0,0.2,0.2,0.2,True
40,0.0555555555555555,0.0,0.0128205128205128,0.0641025641025641,0.0,0.2066923076923077,0.0285714285714285,0.0,0.4285714285714285,0.0,0.0,0.0,0.0,0.2054999999999999,0.1281,0.0,0.0,0.0,0.0,0.0,True
41,0.0,0.0,0.0,0.0,0.0,-0.0256,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.0256,0.0424,0.0,0.0,0.0,0.0,0.0,True
42,0.017391304347826,0.0,0.0097087378640776,0.0097087378640776,0.0,0.0968666666666666,0.0606060606060606,0.0,0.1666666666666666,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0881538461538461,0.0818461538461538,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False
43,0.0144927536231884,0.0,0.0289855072463768,0.0144927536231884,0.0,0.0576666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576666666666666,0.0489999999999999,0.0,0.0,0.0,0.0,0.0,False
44,0.0254237288135593,0.0,0.0188679245283018,0.0188679245283018,0.0,0.1480714285714285,0.0,0.0,0.1764705882352941,0.2307692307692307,0.1538461538461538,0.2307692307692307,0.1538461538461538,0.135076923076923,0.1096153846153846,0.0333333333333333,0.0,0.25,0.125,0.25,True
45,0.043859649122807,0.0087719298245614,0.0784313725490196,0.0490196078431372,0.0098039215686274,0.1180625,0.0526315789473684,0.0,0.05,0.0,0.0,0.0,0.0,0.0711111111111111,-0.0145555555555555,0.0277777777777777,0.0,0.0,0.0,0.0,True
46,0.0491803278688524,0.0,0.1224489795918367,0.0408163265306122,0.0,0.0955714285714285,0.0,0.0,0.15,0.0,0.0,0.0,0.2857142857142857,0.1114999999999999,0.0484999999999999,0.0,0.0,0.0,0.0,0.0,True
47,0.0283018867924528,0.0,0.1111111111111111,0.0333333333333333,0.0,0.1561,0.0,0.0,0.04,0.0,0.0,0.0,0.1111111111111111,0.1405555555555555,0.0656666666666666,0.0,0.0,0.0,0.0,0.0,True
48,0.1666666666666666,0.0,0.0454545454545454,0.1590909090909091,0.0,-0.024,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,-0.024,-0.01375,0.0,0.0,0.0,0.0,0.0,True
